run,part,temperature,label,latency_sec,raw_preview
1,A_prompt_only,0.0,OK,1.848,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
2,A_prompt_only,0.0,OK,1.349,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
3,A_prompt_only,0.0,OK,1.417,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
4,A_prompt_only,0.0,OK,1.557,"{""status"": ""classified"", ""severity"": ""P0"", ""component"": ""payment"", ""ne"
5,A_prompt_only,0.0,OK,1.294,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
6,A_prompt_only,0.0,OK,1.227,"{""status"": ""classified"", ""severity"": ""P0"", ""component"": ""payment"", ""ne"
7,A_prompt_only,0.0,API_ERROR,18.046,"Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded yo"
8,A_prompt_only,0.0,OK,47.529,"{""status"": ""classified"", ""severity"": ""P0"", ""component"": ""payment"", ""ne"
9,A_prompt_only,0.0,OK,1.27,"{""status"": ""classified"", ""severity"": ""P0"", ""component"": ""payment"", ""ne"
10,A_prompt_only,0.0,OK,1.55,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
1,B_structured,0.0,OK,5.239,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
2,B_structured,0.0,OK,1.342,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
3,B_structured,0.0,OK,1.379,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
4,B_structured,0.0,OK,1.27,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
5,B_structured,0.0,OK,1.365,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
6,B_structured,0.0,OK,1.211,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
7,B_structured,0.0,OK,1.463,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
8,B_structured,0.0,OK,1.289,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
9,B_structured,0.0,OK,1.263,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
10,B_structured,0.0,OK,1.371,"{   ""status"": ""classified"",   ""severity"": ""P0"",   ""component"": ""paymen"
